App ID,Title,Reviews Total,Reviews Score Fancy,Release Date,Launch Price,Tags,Steam Page
1172620,Sea of Thieves 2023 Edition,250204,90%,2020-06-03,"$39,99","Multiplayer, Adventure, Open World, Pirates, Co op, Online Co Op, Action, PvP, Sailing, First Person, Exploration, Naval, Funny, PvE, Massively Multiplayer, Atmospheric, FPS, Swordplay, Great Soundtrack, Singleplayer",https://store.steampowered.com/app/1172620
648800,Raft,235975,93%,2022-06-20,"$19,99","Survival, Open World Survival Craft, Multiplayer, Co op, Crafting, Open World, Building, Base Building, Online Co Op, Adventure, Sandbox, First Person, Singleplayer, Early Access, Underwater, Simulation, Action, Indie, Strategy, Massively Multiplayer",https://store.steampowered.com/app/648800
960090,Bloons TD 6,234108,97%,2018-12-17,"$13,99","Tower Defense, Strategy, Multiplayer, Singleplayer, Co op, Online Co Op, Family Friendly, Casual, 3D, Cartoony, Sandbox, Great Soundtrack, Difficult, Funny, Cute, Survival, Action, Indie, 2D, Adventure",https://store.steampowered.com/app/960090
582010,Monster Hunter: World,231924,87%,2018-08-09,"$29,99","Co op, Multiplayer, Action, Open World, RPG, Third Person, Character Customization, Adventure, Fantasy, Difficult, Singleplayer, Action RPG, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, Souls like, MMORPG",https://store.steampowered.com/app/582010
322170,Geometry Dash,229406,93%,2014-12-22,"$3,99","Difficult, Music, Great Soundtrack, Precision Platformer, Level Editor, Rhythm, 2D, Colorful, Singleplayer, Platformer, Character Customization, Arcade, Indie, Side Scroller, Action, Funny, Family Friendly, Casual, Strategy, Adventure",https://store.steampowered.com/app/322170
374320,DARK SOULS™ III,228597,94%,2016-04-11,"$59,99","Souls like, Dark Fantasy, Difficult, RPG, Atmospheric, Lore Rich, Third Person, Exploration, Story Rich, Action RPG, Co op, Great Soundtrack, Adventure, Action, PvP, Multiplayer, Open World, Singleplayer, Character Customization, Replay Value",https://store.steampowered.com/app/374320
264710,Subnautica,216502,96%,2018-01-23,"$29,99","Open World Survival Craft, Survival, Open World, Horror, Exploration, Underwater, Crafting, Base Building, Singleplayer, Adventure, First Person, Sci fi, Sandbox, Aliens, Atmospheric, Survival Horror, Multiplayer, Action, Indie, Early Access",https://store.steampowered.com/app/264710
1145360,Hades,212427,98%,2020-09-17,"$24,99","Action Roguelike, Hack and Slash, Roguelite, Indie, Action, Mythology, Roguelike, RPG, Great Soundtrack, Singleplayer, Story Rich, Dungeon Crawler, Replay Value, Isometric, Difficult, Action RPG, Hand drawn, Atmospheric, Perma Death, Souls like",https://store.steampowered.com/app/1145360
275850,No Man's Sky,206676,76%,2016-08-12,"$59,99","Open World, Open World Survival Craft, Space, Exploration, Sci fi, Survival, Procedural Generation, Adventure, First Person, Sandbox, Singleplayer, Multiplayer, Atmospheric, Crafting, Space Sim, Indie, Action, Simulation, FPS, VR",https://store.steampowered.com/app/275850
377160,Fallout 4,201810,83%,2015-11-09,"$59,99","Open World, Post apocalyptic, Singleplayer, Exploration, RPG, Adventure, Atmospheric, Shooter, First Person, Story Rich, Action, Sci fi, FPS, Action RPG, Sandbox, Great Soundtrack, Third Person, Survival, Third Person Shooter, Character Customization",https://store.steampowered.com/app/377160
289070,Sid Meier’s Civilization® VI,197403,85%,2016-10-20,"$59,99","Strategy, Turn Based Strategy, Multiplayer, Historical, Singleplayer, Grand Strategy, Turn Based, 4X, War, Simulation, City Builder, Tactical, Building, Management, Great Soundtrack, Moddable, Online Co Op, Co op, Hex Grid, Atmospheric",https://store.steampowered.com/app/289070
1794680,Vampire Survivors,191904,98%,2022-10-20,"$4,99","Action Roguelike, Bullet Hell, Pixel Graphics, Roguelite, 2D, Indie, Singleplayer, Vampire, Casual, Action, Arcade, RPG, Controller, Retro, Score Attack, Roguelike, Action RPG, Dark Fantasy, Early Access, 1980s",https://store.steampowered.com/app/1794680
976730,Halo: The Master Chief Collection,191261,92%,2019-12-03,"$39,99","Great Soundtrack, FPS, Classic, Multiplayer, Sci fi, Story Rich, Co op, First Person, Epic, Action, Shooter, Singleplayer, Aliens, Lore Rich, Beautiful, Space, Atmospheric, Adventure, Horror, Online Co Op",https://store.steampowered.com/app/976730
251570,7 Days to Die,185945,88%,2013-12-13,"$24,99","Survival, Zombies, Open World, Multiplayer, Open World Survival Craft, Voxel, Post apocalyptic, Base Building, Online Co Op, Exploration, Building, Sandbox, Simulation, FPS, Strategy, Character Customization, Action, Tower Defense, Procedural Generation, Early Access",https://store.steampowered.com/app/251570
49520,Borderlands 2,183303,95%,2012-09-17,"$59,99","Loot, Shooter, Action, Multiplayer, Co op, Looter Shooter, FPS, RPG, First Person, Funny, Comedy, Open World, Combat, Online Co Op, Adventure, Action RPG, Dark Humor, Singleplayer, Memes, Sci fi",https://store.steampowered.com/app/49520
548430,Deep Rock Galactic,180721,97%,2020-05-13,"$29,99","Co op, PvE, FPS, Exploration, Procedural Generation, Shooter, Loot, Class Based, First Person, Sci fi, Space, Action, Looter Shooter, Atmospheric, Combat, Horror, Survival, Action Roguelike, Dark, Open World",https://store.steampowered.com/app/548430
391540,Undertale,178894,96%,2015-09-15,"$9,99","Great Soundtrack, Story Rich, Choices Matter, Multiple Endings, Pixel Graphics, Funny, RPG, Singleplayer, Indie, Comedy, 2D, Replay Value, Bullet Hell, Cute, Memes, Retro, Dark, Psychological Horror, Dating Sim, Horror",https://store.steampowered.com/app/391540
261550,Mount & Blade II: Bannerlord,176240,87%,2022-10-25,"$49,99","Medieval, Strategy, Open World, RPG, War, Sandbox, Multiplayer, Singleplayer, Action, Character Customization, Simulation, Moddable, Adventure, Horses, Realistic, Third Person, First Person, Historical, Great Soundtrack, Early Access",https://store.steampowered.com/app/261550
255710,Cities: Skylines,176219,93%,2015-03-10,"$29,99","City Builder, Simulation, Building, Management, Strategy, Sandbox, Singleplayer, Moddable, Economy, Resource Management, Mod, Realistic, Replay Value, Casual, Modern, Real Time with Pause, Family Friendly, Great Soundtrack, Funny, Action",https://store.steampowered.com/app/255710
1293830,Forza Horizon 4,174791,89%,2021-03-09,"$59,99","Racing, Open World, Driving, Multiplayer, Automobile Sim, Online Co Op, Realistic, Singleplayer, Controller, Adventure, Arcade, PvP, Simulation, Exploration, Sports, Action, Atmospheric, Great Soundtrack, First Person, Funny",https://store.steampowered.com/app/1293830
394360,Hearts of Iron IV,172382,92%,2016-06-06,"$39,99","Strategy, World War II, Grand Strategy, War, Historical, Military, Alternate History, Multiplayer, Simulation, Tactical, Real Time with Pause, Singleplayer, RTS, Diplomacy, Sandbox, Co op, Competitive, Strategy RPG, Open World, Action",https://store.steampowered.com/app/394360
